name,brief_description,value,eligibility,deadline,field_of_study,application_instructions,official_scholarship_website,id,level
Call Me Mister Scholarship,Missing data,Missing data,"*Senior MALE, African American student interested in becoming a teacher by studying at one of the following universities:  Clemson Univ, Benedict College, Claflin Univ, Morris College, South Carolina State Univ",Unknown,Missing data,Missing data,https://www.clemson.edu/education/callmemister/apply.html,snfdQpJMRTF,Missing data
Maple Creek Willie Scholarship,Missing data,Missing data,*Senior student with Native American ethnic and/or cultural background                                     *Resident of California.,Unknown,Missing data,Missing data,"For application, send self addressed stamped envelope to: Maple Creek Willie Scholars, Department of Education, 721 Capitol Mall, Sacremento, CA  95814",iseYU7mWUkC,Missing data
Sigma Phi Epsilon-Balanced Man Scholarship,Missing data,Missing data,Missing data,Unknown,Missing data,Missing data,http://www.sigep.org/scholarship/default.asp,33HGKJgvaT5,Missing data
Woodbury University-Accounting Major Scholarship,Missing data,Missing data,*Senior student who is planning to apply/already applied to Woodbury University                                                              *Plans to major in accounting                                                                   *GPA of 3.4 or higher,Unknown,Missing data,Missing data,http://www.woodbury.edu/s/131/index.aspx?sid=131&gid=1&pgid=1754,YOFR7MtfP6r,Missing data
Making Education the Answer (META) Scholarship,Missing data,Missing data,"*Senior student planning on attending a 2-yr. college with intent to transfer or a 4-yr. university                                                                                                       *US citizen of Hispanic origin                             *GPA of 3.0 or higher                                        *Must come from families at or below 60% of the area’s median family income, based on family size",nan,Missing data,Missing data,http://www.metaonline.org/students.html,yJAxZgMsEdm,Missing data
Junior Achievement,Missing data,Missing data,*Varies according to scholarship applying to,Varies according to scholarship,Missing data,Missing data,http://www.ja.org/programs/programs_schol.shtml,ob1Z86QkZBU,Missing data
United Negro College Fund Scholarship,Missing data,Missing data,*Varies according to scholarship applying to,Varies according to scholarship,Missing data,Missing data,http://www.uncf.org/forstudents/scholarship.asp,5nLNTJu7Ne5,Missing data
2023 Stepping Strong Center for Trauma Innovation Explorer Grant,"The Stepping Strong Center for Trauma Innovation Explorer Grant provides resources to graduate students and postdoctoral trainee investigators looking to conduct a trauma or injury-related project. Students and postdoctoral research fellows from Harvard Graduate and Professional Schools who are conducting research that aligns with the mission and vision of the Stepping Strong Center are invited to apply for grants up to $2,000. Applications will be accepted on a rolling basis and funds will be awarded competitively. Postdoctoral fellows at Harvard teaching hospitals are eligible to apply if they have an academic appointment as a research fellow at Harvard.",Missing data,—No tags,Varies according to scholarship,Missing data,Harvard funding,https://www.hsph.harvard.edu/student-funding-finder/student_funding/2023-stepping-strong-center-for-trauma-innovation-explorer-grant/,mJafUsMxejJ,—No categories
Advance-Africa Public Health Scholarship,"Advance-Africa is an International Non-governmental Organization. Every year they enable thousands of students in developing countries get scholarships and further their education. There are several different scholarships with different time frames. In particular students should look at the Rosalynn Carter scholarship.
",Missing data,"International students from developing countries, Public Health Scholarship",Varies according to scholarship,Missing data,Harvard funding,https://www.hsph.harvard.edu/student-funding-finder/student_funding/advance-africa-public-health-scholarship/,or00T8EchHK,"Citizenship, Funding Type"
AED.US Scholarship Program,"To enter to win one of two $1500 scholarships to the college or university of your choice, complete the steps listed on the program website
Deadlines for submission are December 1st and July 1st.
",Missing data,"AED, EMS",Varies according to scholarship,Missing data,Harvard funding,https://www.hsph.harvard.edu/student-funding-finder/student_funding/aed-us-scholarship-program/,l08s3OD5V5L,General
AERA Minority Dissertation Fellowship in Education Research,"In 1991, the Council of the American Educational Research Association (AERA) established the AERA Minority Dissertation Fellowship in Education Research to provide support for doctoral dissertation research.

The purposes of the program are to advance education research by outstanding minority graduate students and to improve the quality and diversity of university faculties. This program offers doctoral fellowships to enhance the competitiveness of outstanding minority scholars for academic appointments at major research universities.",Missing data,"Dissertation Fellowship, members of racial and ethnic groups historically underrepresented in higher education, U.S. Citizen or Permanent U.S. Resident",Varies according to scholarship,Missing data,Harvard funding,https://www.hsph.harvard.edu/student-funding-finder/student_funding/aera-minority-dissertation-fellowship-in-education-research/,n0CONa7Nknx,"Citizenship, Funding Type, Minoritized/Underserved Populations"
AES Engineering Scholarship Program,"There is no application packet for this award. To apply, the applicant must submit an essay of no more than 1,000 words addressing the topic.

You are not required to be taking Engineering courses to be eligible.",Missing data,—No tags,Varies according to scholarship,Missing data,Harvard funding,https://www.hsph.harvard.edu/student-funding-finder/student_funding/aes-engineering-scholarship-program/,YYm93wJNXNn,General
Aga Khan,"The Aga Khan Foundation's International Scholarship Programme (ISP) aims to support gifted, outstanding students from developing countries, who have no other means of financing their studies, to pursue full-time postgraduate studies at reputable higher education institutions of their choice.",Missing data,"Afghanistan, Bangladesh, Egypt, India, Kenya, Kyrgyz Republic, Madagascar, Mozambique, Pakistan, Syria, Tajikistan, Tanzania, Uganda",Varies according to scholarship,Missing data,Harvard funding,https://www.hsph.harvard.edu/student-funding-finder/student_funding/aga-khan/,SN11x0RgH1f,Citizenship
